iter	RMSE
0	101.4398438
1	95.76220093
2	90.84750993
3	85.81312877
4	82.13278919
5	79.54277719
6	76.18187943
7	73.18743031
8	71.28115853
9	69.68900453
10	68.19765321
11	66.32443704
12	65.26590192
13	64.18147903
14	62.60569219
15	62.10417221
16	61.18344974
17	60.53083038
18	59.50236003
19	59.0149908
20	58.19055246
21	57.41034103
22	57.08352856
23	56.33301702
24	55.80955501
25	55.54262741
26	54.74550323
27	54.05323544
28	53.79150248
29	53.65930122
30	53.02445663
31	52.65448475
32	52.16027958
33	51.70154116
34	50.97922729
35	50.75210984
36	49.58528705
37	49.13117339
38	48.74966731
39	48.18548497
40	47.69949618
41	47.4014146
42	46.98613051
43	46.60456673
44	46.40608156
45	45.72091802
46	44.859651
47	44.28507201
48	43.89835463
49	43.53397128
50	43.30223044
51	42.75977418
52	42.0007695
53	41.74605747
54	41.40214284
55	41.31359445
56	41.01853093
57	40.52407246
58	39.93417758
59	39.55433059
60	39.0585566
61	38.75453816
62	38.49204695
63	38.20609961
64	37.89700197
65	37.58829113
66	37.29959073
67	37.07539201
68	36.84376546
69	36.5186137
70	36.34457955
71	35.98092269
72	35.81358219
73	35.54367594
74	35.24374397
75	34.8096044
76	34.48270958
77	34.31676822
78	34.11634085
79	33.90049332
80	33.47601227
81	33.39730226
82	33.19399586
83	33.06399212
84	32.81771133
85	32.53633583
86	32.40564808
87	32.14104829
88	31.91611514
89	31.75128801
90	31.62071428
91	31.42822048
92	31.33346411
93	31.17478181
94	30.94183153
95	30.772649
96	30.53630517
97	30.47393532
98	30.2117484
99	30.01921592
100	29.91741219
101	29.76507641
102	29.62694288
103	29.37648823
104	29.12235899
105	29.00541284
106	28.82926494
107	28.65555414
108	28.51967892
109	28.3604896
110	28.27754213
111	28.13577596
112	28.0404832
113	27.91491959
114	27.80964517
115	27.68557498
116	27.55141913
117	27.42624949
118	27.35396285
119	27.22990982
120	27.16498068
121	27.06202793
122	26.96775263
123	26.87922438
124	26.7403137
125	26.55138276
126	26.46742502
127	26.28307304
128	26.16506294
129	26.13771548
130	25.86432446
131	25.68162049
132	25.45095268
133	25.29136824
134	25.14022696
135	25.02726305
136	24.94893446
137	24.91542027
138	24.77217592
139	24.61871244
140	24.47127056
141	24.37802581
142	24.14570536
143	24.11362252
144	23.98595662
145	23.88031592
146	23.76374199
147	23.67017006
148	23.54163898
149	23.4194298
150	23.34456474
151	23.26481334
152	23.18594539
153	23.10481566
154	23.00550505
155	22.87015973
156	22.753262
157	22.62415328
158	22.58733894
159	22.53975335
160	22.45876723
161	22.34798872
162	22.26043259
163	22.20713989
164	22.14469072
165	22.10173623
166	22.04018461
167	21.89228645
168	21.84013893
169	21.76891699
170	21.7044962
171	21.65803661
172	21.56115071
173	21.5041428
174	21.4002483
175	21.31939662
176	21.24687167
177	21.19375871
178	21.17307057
179	21.10259475
180	21.00291818
181	20.9292333
182	20.86673627
183	20.74411411
184	20.67091449
185	20.58346463
186	20.52127446
187	20.45559901
188	20.43150971
189	20.31189743
190	20.1838142
191	20.07995144
192	20.02330352
193	19.90983967
194	19.81723755
195	19.74248419
196	19.69594443
197	19.61093245
198	19.57086234
199	19.53104289
200	19.48797469
201	19.42961053
202	19.35022681
203	19.25790062
204	19.20393904
205	19.12557407
206	19.04743659
207	18.98834238
208	18.94168953
209	18.85351912
210	18.81938245
211	18.78095653
212	18.74192935
213	18.72088799
214	18.64685578
215	18.58443878
216	18.54625372
217	18.48158666
218	18.44173786
219	18.39197866
220	18.32677723
221	18.25173738
222	18.22779183
223	18.15011511
224	18.11063215
225	18.05059024
226	17.95800151
227	17.92298955
228	17.88569148
229	17.86269214
230	17.76024717
231	17.73607984
232	17.7044687
233	17.60302629
234	17.53500551
235	17.47677719
236	17.42595648
237	17.37277464
238	17.34246455
239	17.29276219
240	17.17163997
241	17.13272275
242	17.06348613
243	17.01947733
244	16.96570726
245	16.91729544
246	16.89215959
247	16.83635294
248	16.80459336
249	16.73894706
250	16.73364834
251	16.6781777
252	16.64146955
253	16.61644717
254	16.55798035
255	16.48306441
256	16.451527
257	16.390083
258	16.33594573
259	16.32563079
260	16.28468096
261	16.24287777
262	16.20801979
263	16.19039317
264	16.15452095
265	16.09422645
266	16.07750557
267	16.04885815
268	16.00074494
269	15.97943414
270	15.88756801
271	15.83469066
272	15.78408239
273	15.75481668
274	15.70003885
275	15.66646382
276	15.64846212
277	15.60401372
278	15.54343799
279	15.47469488
280	15.43232928
281	15.42269943
282	15.30517286
283	15.28494645
284	15.21263111
285	15.14817963
286	15.06651224
287	15.04603142
288	14.95795531
289	14.90857402
290	14.86759159
291	14.8410095
292	14.80903589
293	14.74269208
294	14.71784456
295	14.69992995
296	14.67088823
297	14.62876736
298	14.59553081
299	14.57859172
300	14.56172572
301	14.53603725
302	14.47136996
303	14.4437627
304	14.36217358
305	14.28378571
306	14.24470689
307	14.21807785
308	14.19283879
309	14.16184397
310	14.13608755
311	14.11590866
312	14.09801589
313	14.05963307
314	14.0197488
315	13.99333709
316	13.9535471
317	13.92931754
318	13.90071961
319	13.8871035
320	13.86024163
321	13.83992925
322	13.8066351
323	13.79653785
324	13.77759043
325	13.75641074
326	13.74793037
327	13.70303053
328	13.65964645
329	13.64628696
330	13.62161352
331	13.53870957
332	13.52982186
333	13.50768352
334	13.49572022
335	13.45930111
336	13.42114012
337	13.40373049
338	13.34786907
339	13.30046938
340	13.27373815
341	13.25829668
342	13.23946277
343	13.22540558
344	13.20237393
345	13.17676991
346	13.15147523
347	13.13281863
348	13.1022013
349	13.09151835
350	13.02447559
351	13.00170067
352	12.96958827
353	12.94545794
354	12.91460626
355	12.88668807
356	12.8671167
357	12.85988132
358	12.84362623
359	12.81388546
360	12.78460308
361	12.76867666
362	12.71779502
363	12.70358051
364	12.69091862
365	12.67928448
366	12.66676825
367	12.60891559
368	12.59583067
369	12.5832131
370	12.55698663
371	12.51038102
372	12.49377931
373	12.47401288
374	12.45272391
375	12.42898172
376	12.40174341
377	12.36022559
378	12.34224462
379	12.32106801
380	12.30012208
381	12.27364023
382	12.24720761
383	12.22114578
384	12.21337838
385	12.16849284
386	12.13993855
387	12.12859905
388	12.09099812
389	12.05743703
390	12.02965816
391	12.01523346
392	11.97560504
393	11.94970385
394	11.92877028
395	11.90931453
396	11.87959882
397	11.86748957
398	11.8308209
399	11.78352795
