iter	Passed	Remaining
0	157	62743
1	159	31695
2	161	21357
3	163	16163
4	165	13036
5	166	10961
6	168	9468
7	170	8344
8	171	7468
9	173	6767
10	175	6197
11	176	5715
12	178	5311
13	180	4965
14	181	4664
15	183	4398
16	185	4167
17	186	3967
18	188	3782
19	190	3613
20	191	3460
21	193	3320
22	194	3193
23	196	3079
24	198	2972
25	199	2875
26	201	2783
27	203	2699
28	204	2621
29	206	2546
30	208	2477
31	209	2413
32	211	2351
33	212	2292
34	214	2239
35	216	2186
36	217	2137
37	219	2090
38	221	2047
39	222	2004
40	224	1964
41	226	1926
42	227	1891
43	229	1856
44	231	1825
45	233	1795
46	235	1765
47	236	1737
48	238	1711
49	240	1684
50	242	1658
51	244	1634
52	245	1609
53	247	1586
54	249	1563
55	251	1541
56	252	1520
57	254	1499
58	256	1479
59	257	1459
60	259	1441
61	260	1422
62	262	1404
63	264	1387
64	265	1370
65	267	1353
66	269	1337
67	270	1322
68	272	1306
69	274	1292
70	275	1277
71	277	1262
72	278	1248
73	280	1235
74	282	1222
75	283	1209
76	285	1196
77	286	1184
78	288	1173
79	290	1161
80	292	1150
81	293	1139
82	295	1128
83	297	1117
84	298	1107
85	300	1097
86	302	1087
87	304	1077
88	305	1068
89	307	1058
90	308	1048
91	310	1038
92	311	1029
93	313	1020
94	315	1011
95	316	1002
96	318	994
97	319	984
98	321	976
99	323	969
100	324	961
101	326	953
102	327	945
103	329	937
104	331	930
105	332	923
106	334	915
107	336	908
108	337	901
109	339	894
110	340	887
111	342	880
112	344	874
113	346	868
114	347	861
115	349	855
116	351	849
117	353	843
118	354	837
119	356	831
120	358	825
121	359	819
122	361	813
123	362	807
124	364	801
125	366	796
126	367	790
127	369	785
128	371	779
129	372	774
130	374	769
131	376	764
132	378	758
133	379	753
134	381	748
135	382	743
136	384	738
137	386	733
138	388	729
139	390	725
140	392	720
141	394	716
142	396	711
143	397	707
144	400	703
145	401	699
146	403	694
147	405	690
148	407	686
149	409	682
150	411	677
151	412	673
152	414	669
153	416	665
154	418	661
155	420	657
156	421	652
157	423	648
158	425	644
159	427	640
160	428	636
161	430	632
162	432	628
163	433	624
164	435	620
165	436	615
166	438	611
167	440	607
168	441	603
169	443	600
170	445	596
171	447	592
172	449	589
173	450	585
174	452	582
175	454	578
176	456	575
177	458	572
178	459	567
179	461	564
180	463	560
181	465	557
182	467	553
183	468	550
184	470	546
185	472	543
186	474	540
187	475	536
188	477	533
189	479	530
190	481	527
191	483	524
192	485	521
193	487	517
194	489	514
195	491	511
196	493	508
197	494	504
198	503	508
199	504	504
200	506	501
201	508	498
202	510	495
203	512	492
204	514	489
205	516	486
206	517	482
207	519	479
208	521	476
209	523	473
210	525	470
211	527	467
212	529	464
213	530	461
214	532	458
215	534	455
216	535	451
217	537	449
218	539	445
219	541	442
220	543	439
221	545	437
222	547	434
223	549	431
224	550	428
225	552	425
226	554	422
227	556	419
228	558	416
229	559	413
230	561	411
231	563	408
232	565	405
233	567	402
234	569	399
235	571	396
236	572	394
237	574	391
238	576	388
239	578	385
240	580	382
241	582	380
242	583	377
243	585	374
244	587	371
245	589	369
246	591	366
247	593	363
248	595	360
249	597	358
250	598	355
251	600	352
252	602	350
253	604	347
254	606	344
255	608	342
256	610	339
257	611	336
258	614	334
259	616	331
260	618	329
261	620	326
262	622	324
263	623	321
264	626	318
265	628	316
266	630	313
267	632	311
268	634	308
269	635	306
270	637	303
271	639	301
272	642	298
273	643	296
274	646	293
275	648	291
276	650	288
277	652	286
278	654	283
279	656	281
280	658	279
281	661	276
282	663	274
283	665	271
284	667	269
285	669	266
286	671	264
287	673	262
288	676	259
289	678	257
290	680	254
291	682	252
292	684	250
293	687	247
294	689	245
295	691	242
296	693	240
297	695	238
298	697	235
299	700	233
300	702	230
301	704	228
302	706	226
303	708	223
304	710	221
305	713	219
306	715	216
307	717	214
308	720	212
309	722	209
310	724	207
311	727	205
312	729	202
313	731	200
314	734	198
315	736	195
316	738	193
317	740	190
318	742	188
319	744	186
320	749	184
321	751	182
322	754	179
323	756	177
324	758	175
325	777	176
326	779	174
327	781	171
328	783	169
329	786	166
330	788	164
331	790	161
332	792	159
333	794	157
334	796	154
335	798	152
336	801	149
337	803	147
338	805	144
339	807	142
340	809	140
341	812	137
342	814	135
343	816	132
344	818	130
345	820	127
346	822	125
347	824	123
348	826	120
349	828	118
350	830	115
351	832	113
352	834	111
353	836	108
354	838	106
355	841	103
356	843	101
357	845	99
358	847	96
359	849	94
360	851	91
361	853	89
362	855	87
363	857	84
364	859	82
365	861	80
366	863	77
367	865	75
368	867	72
369	869	70
370	872	68
371	874	65
372	876	63
373	878	61
374	880	58
375	882	56
376	884	53
377	887	51
378	889	49
379	891	46
380	893	44
381	895	42
382	897	39
383	900	37
384	902	35
385	904	32
386	906	30
387	908	28
388	910	25
389	912	23
390	914	21
391	916	18
392	918	16
393	920	14
394	922	11
395	924	9
396	927	7
397	929	4
398	931	2
399	933	0
