,Overpotential (mV @10 mA cm-2)
0,216
1,201
2,245
3,286
4,422
5,396
6,248
7,292
8,191
9,221
10,217
11,285
12,211
13,286
14,329
15,325
16,260
17,281
18,354
19,385
20,281
21,262
22,199
23,164
24,181
25,219
26,198
27,229
28,232
29,197
30,297
31,530
32,300
33,320
34,188
35,189
36,187
37,199
38,208
39,225
40,328
41,342
42,600
43,230
44,300
45,213
46,274
47,265
48,454
49,698
50,808
51,271
52,210
53,262
54,302
55,388
56,287
57,234
58,161
59,250
60,219
61,163
62,237
63,212
64,492
65,546
66,461
67,342
68,377
69,394
70,351
71,356
72,330
73,357
74,335
75,400
76,376
77,258
78,552
79,741
80,290
81,189
82,185
83,154
84,167
85,209
86,342
87,280
88,224
89,370
90,270
91,216
92,412
93,394
94,299
95,227
96,254
97,238
98,235
99,242
100,236
101,202
102,224
103,281
104,239
105,232
106,228
107,252
108,337
109,254
110,307
111,308
112,363
113,306
114,372
115,325
116,297
117,250
118,235
119,256
120,271
121,304
122,294
123,287
124,307
125,314
126,370
127,342
128,333
129,298
130,297
131,286
132,284
133,272
134,291
135,252
136,244
137,249
138,226
139,190
140,300
141,284
142,261
143,270
144,293
145,314
146,156
147,423
148,507
149,442
150,454
151,415
152,411
153,310
154,283
155,273
156,265
157,269
158,296
159,283
160,257
161,270
162,283
163,258
164,277
165,274
166,286
167,312
168,290
169,274
170,285
171,404
172,315
173,350
174,280
175,169
176,236
177,249
178,245
179,258
180,197
181,191
182,175
183,170
184,181
185,193
186,215
187,386
188,415
189,413
190,255
191,190
192,465
193,1580
194,280
195,370
196,480
197,500
198,1070
199,244
200,328
201,251
202,326
203,336
204,343
205,247
206,319
207,328
208,345
209,357
210,297
211,463
212,415
213,243
214,439
215,302
216,263
217,370
218,330
219,302
220,269
221,259
222,263
223,273
224,594
225,548
226,425
227,400
228,388
229,382
230,352
231,391
232,368
233,351
234,375
235,184
236,180
237,177
238,206
239,233
240,226
241,244
242,268
243,271
244,307
245,243
246,310
247,188
248,201
249,230
250,367
251,312
252,261
253,339
254,570
255,870
256,540
257,380
258,520
259,510
260,500
261,490
262,450
263,410
264,370
265,480
266,513
267,563
268,333
269,225
270,266
271,281
272,448
273,239
274,290
275,319
276,234
277,312
278,545
279,320
280,260
281,341
282,472
283,484
284,234
285,286
286,299
287,315
288,302
289,312
290,343
291,317
292,310
293,347
294,339
