,Overpotential (mV @10 mA cm-2)
0,422
1,396
2,248
3,292
4,191
5,221
6,217
7,285
8,211
9,286
10,281
11,262
12,199
13,164
14,181
15,219
16,198
17,229
18,232
19,197
20,297
21,530
22,300
23,320
24,188
25,328
26,342
27,600
28,230
29,300
30,213
31,274
32,265
33,454
34,698
35,808
36,210
37,262
38,302
39,388
40,287
41,234
42,161
43,250
44,212
45,492
46,546
47,394
48,351
49,356
50,330
51,357
52,335
53,400
54,376
55,258
56,552
57,741
58,290
59,209
60,342
61,280
62,224
63,216
64,412
65,394
66,299
67,227
68,254
69,238
70,235
71,242
72,236
73,202
74,224
75,271
76,298
77,297
78,286
79,284
80,272
81,291
82,190
83,300
84,284
85,261
86,270
87,293
88,314
89,156
90,423
91,507
92,442
93,454
94,415
95,411
96,310
97,283
98,273
99,265
100,269
101,296
102,283
103,257
104,270
105,283
106,258
107,277
108,274
109,286
110,312
111,290
112,274
113,285
114,404
115,315
116,350
117,169
118,236
119,249
120,245
121,258
122,197
123,191
124,175
125,170
126,181
127,193
128,215
129,386
130,415
131,413
132,255
133,190
134,465
135,1580
136,280
137,370
138,480
139,500
140,1070
141,244
142,328
143,251
144,326
145,336
146,343
147,247
148,319
149,328
150,345
151,357
152,243
153,439
154,302
155,263
156,370
157,330
158,302
159,269
160,259
161,263
162,273
163,391
164,368
165,351
166,375
167,184
168,180
169,177
170,206
171,233
172,226
173,244
174,268
175,271
176,307
177,243
178,310
179,188
180,201
181,230
182,367
183,312
184,261
185,339
186,570
187,870
188,540
189,380
190,520
191,510
192,500
193,490
194,450
195,410
196,370
197,480
198,513
199,563
200,333
201,225
202,266
203,281
204,448
205,239
206,290
207,319
208,234
209,312
210,545
211,320
212,260
213,341
214,472
215,484
216,234
217,347
218,339
219,335
220,324
221,318
222,235
223,222
224,210
225,199
226,190
227,221
228,295
229,312
230,377
231,338
232,312
233,273
234,266
235,270
236,224
237,238
238,239
239,284
240,342
241,178
242,176
243,181
244,187
245,204
246,304
247,293
248,336
249,319
250,304
251,286
252,300
253,235
254,201
255,224
256,297
257,313
258,282
259,270
260,273
261,224
262,236
263,269
264,417
265,354
266,288
267,273
268,253
269,222
270,242
271,252
272,263
273,391
274,375
275,340
276,299
277,264
278,251
279,241
280,260
281,317
282,547
283,287
284,286
285,353
286,396
287,342
288,291
289,378
290,442
291,225
292,318
293,309
294,323
295,302
296,286
297,292
298,340
299,264
300,288
301,312
302,299
303,281
304,301
305,317
306,293
307,291
308,304
309,316
310,324
311,220
312,224
313,213
314,213
315,193
316,168
317,174
318,267
319,329
320,318
321,315
322,223
323,208
324,248
325,429
326,324
327,293
328,284
329,274
330,265
331,270
332,275
333,285
334,294
335,278
336,297
337,334
338,165
339,242
340,170
341,181
342,284
343,248
344,310
345,362
346,399
347,435
348,454
349,236
350,298
351,325
352,354
353,387
354,409
355,334
356,284
357,267
358,321
359,432
360,440
361,232
362,249
363,241
364,257
365,244
366,260
367,280
368,260
369,225
370,284
371,258
372,287
373,280
374,250
375,220
376,270
377,252
378,238
379,247
380,234
381,284
382,289
383,290
384,263
385,251
386,275
387,238
388,208
389,218
390,226
391,285
392,309
393,186
394,138
395,152
396,143
397,295
398,305
399,330
400,420
401,304
402,556
403,462
404,269
405,228
406,300
407,286
408,263
409,289
410,245
411,298
412,305
413,308
414,282
415,280
416,301
417,318
418,295
419,324
420,295
421,368
422,413
423,290
424,318
425,308
426,307
427,248
428,247
429,299
430,304
431,193
432,385
433,368
434,372
435,290
436,370
437,362
438,346
439,350
440,358
441,323
442,312
443,311
444,326
445,302
446,345
447,289
448,288
449,306
450,300
451,523
452,383
453,365
454,548
455,592
456,293
457,355
458,350
459,374
460,321
461,302
462,292
463,287
464,284
465,240
466,319
467,342
468,278
469,518
470,385
471,330
472,226
473,192
474,516
475,523
476,433
477,534
478,290
479,416
480,387
481,354
482,323
483,304
484,301
485,208
486,245
487,396
488,215
489,212
490,280
491,312
492,420
493,215
494,359
495,347
496,338
497,339
498,357
499,634
500,549
501,579
502,789
503,282
504,337
505,232
506,206
507,250
508,372
509,408
510,305
511,259
512,282
513,344
514,316
515,319
516,346
517,198
518,199
519,190
520,369
521,301
522,338
523,254
524,245
525,251
526,278
527,263
528,288
529,256
530,270
531,377
532,257
533,319
534,279
535,219
536,311
537,355
538,300
539,332
540,274
541,310
542,314
543,303
544,284
545,279
546,288
547,298
548,224
549,199
550,184
551,223
552,294
553,313
554,328
555,283
556,300
557,292
558,312
559,273
560,295
561,308
562,345
563,285
564,297
565,290
566,245
567,374
568,329
569,287
570,311
571,370
572,389
573,418
574,393
575,302
576,306
577,302
578,311
579,361
580,245
581,292
582,248
583,251
584,266
585,240
586,445
587,313
588,278
589,294
590,298
591,314
592,324
593,298
594,188
595,328
596,321
597,330
598,281
599,272
600,290
601,307
602,314
603,384
604,270
605,344
606,242
607,380
608,341
609,276
610,281
611,827
612,809
613,749
614,904
615,943
616,310
617,308
618,300
619,302
620,348
621,240
622,158
623,239
624,338
625,331
626,322
627,308
628,294
629,172
630,164
631,169
632,234
633,301
634,282
635,299
636,293
637,334
638,302
639,353
640,287
641,304
642,309
643,329
644,357
645,328
646,323
647,193
648,392
649,421
650,265
651,293
652,419
653,412
654,401
655,333
656,341
657,348
658,368
659,372
660,255
661,299
662,282
663,276
664,297
665,314
666,274
667,240
668,255
669,267
670,310
671,252
672,260
673,269
674,278
675,313
676,315
677,328
678,342
679,260
680,371
681,285
682,419
683,470
684,530
685,550
686,508
687,511
688,516
689,513
690,537
691,592
692,573
693,517
694,564
695,495
696,260
697,328
698,269
699,308
700,326
701,333
702,241
703,270
704,279
705,257
706,239
707,171
708,377
709,326
710,236
711,531
712,396
713,427
714,303
715,466
716,331
717,327
718,388
719,495
720,371
721,314
722,292
723,378
724,289
725,266
726,334
727,450
728,271
729,304
730,269
731,212
732,324
733,308
734,303
735,295
736,273
737,213
