iter	RMSE
0	100.2859762
1	96.2766178
2	92.96541718
3	89.51711934
4	86.69745841
5	84.39648856
6	81.83504454
7	79.70757618
8	78.34046055
9	77.01936459
10	75.63424422
11	74.01213194
12	73.50532001
13	71.85370273
14	70.34905792
15	69.78771269
16	68.55491838
17	67.85580257
18	66.78842706
19	65.43271532
20	64.82444766
21	63.77077871
22	63.05414679
23	62.63641314
24	62.18464099
25	61.49449235
26	60.71161794
27	60.27010533
28	59.81732823
29	59.51459361
30	59.07611049
31	58.74151952
32	58.26948873
33	57.74701072
34	57.43599371
35	57.28679725
36	56.78119843
37	56.24314127
38	56.06061216
39	55.89261456
40	55.70273435
41	55.41203332
42	54.99198429
43	54.74947941
44	54.59202342
45	54.05149931
46	53.80758259
47	53.58510229
48	53.32255771
49	53.14983531
50	52.91780804
51	52.48953254
52	52.28016577
53	52.04325758
54	51.84611827
55	51.70007615
56	51.55529486
57	51.32501139
58	50.8796247
59	50.74004753
60	50.55728821
61	50.34588215
62	50.20155052
63	49.84377525
64	49.63418861
65	49.4327485
66	49.23896403
67	48.98983064
68	48.88742175
69	48.27074833
70	48.07849444
71	48.03364601
72	47.74141133
73	47.61340609
74	47.55820468
75	47.31999281
76	47.01951388
77	46.79423482
78	46.61466567
79	46.26486991
80	46.02332991
81	45.80422858
82	45.34373467
83	45.11719799
84	44.63378842
85	44.4844408
86	44.13590315
87	44.01967363
88	43.69368967
89	43.36643598
90	43.16660464
91	42.77788732
92	42.66630991
93	42.40924486
94	42.2950412
95	41.99256614
96	41.76229686
97	41.59890232
98	41.40018632
99	41.27239108
100	41.03098075
101	40.77729571
102	40.57581851
103	40.28531338
104	40.11178825
105	40.01385041
106	39.74119278
107	39.63205315
108	39.52500865
109	39.40330255
110	39.27539696
111	39.081997
112	39.01470801
113	38.84892321
114	38.59930976
115	38.53037057
116	38.292614
117	38.09951173
118	37.98945538
119	37.84564376
120	37.6696874
121	37.59833059
122	37.44909204
123	37.29981833
124	37.21231295
125	37.12589568
126	36.95199255
127	36.72616598
128	36.42282395
129	36.35300886
130	36.15070865
131	36.04019601
132	35.924823
133	35.79520479
134	35.47233454
135	35.29119489
136	35.21640394
137	34.96475577
138	34.8604184
139	34.75912731
140	34.66009665
141	34.51277002
142	34.40326283
143	34.29744895
144	34.19360289
145	34.0588138
146	33.79188272
147	33.6911789
148	33.63642965
149	33.52080135
150	33.43634003
151	33.32280024
152	33.2831638
153	33.18540039
154	33.14772841
155	33.05120455
156	32.9687594
157	32.80201927
158	32.7117611
159	32.6253617
160	32.49974189
161	32.4048396
162	32.31050227
163	32.21736454
164	32.13686158
165	31.98029675
166	31.889616
167	31.80199844
168	31.71860408
169	31.60731549
170	31.39461851
171	31.2866199
172	31.2315698
173	31.1407655
174	30.94271657
175	30.87525744
176	30.83136583
177	30.73453759
178	30.68794027
179	30.59566035
180	30.5240041
181	30.48083816
182	30.38389385
183	30.30758575
184	30.16015282
185	30.06406736
186	29.85558204
187	29.73628952
188	29.66570875
189	29.53043928
190	29.44470905
191	29.39079043
192	29.32278816
193	29.27606765
194	29.14006564
195	29.11702395
196	29.05597423
197	28.99213208
198	28.95377244
199	28.94850325
200	28.84249302
201	28.79253672
202	28.66907984
203	28.54244431
204	28.43071779
205	28.32722417
206	28.26306564
207	28.18904129
208	28.13438206
209	28.05905403
210	28.01351511
211	27.93983724
212	27.8715018
213	27.79519073
214	27.71746496
215	27.66942441
216	27.6027015
217	27.52388706
218	27.47764652
219	27.41363559
220	27.36917722
221	27.28598357
222	27.23556243
223	27.10048904
224	27.02645647
225	26.88385557
226	26.84847721
227	26.8157024
228	26.73647539
229	26.60428858
230	26.55513152
231	26.47586442
232	26.41280927
233	26.36127935
234	26.34108498
235	26.27220941
236	26.23586326
237	26.12815164
238	26.08575036
239	26.04009642
240	26.02040451
241	25.92553374
242	25.85103706
243	25.78610904
244	25.72487257
245	25.6603884
246	25.57300063
247	25.49488368
248	25.43662646
249	25.36121855
250	25.30637152
251	25.28346561
252	25.24288761
253	25.21850697
254	25.18884139
255	25.09936423
256	25.03770703
257	25.00064999
258	24.95103913
259	24.81630025
260	24.77314079
261	24.69280781
262	24.62047151
263	24.54877496
264	24.47107607
265	24.43231178
266	24.37957125
267	24.26154811
268	24.11874837
269	24.07326675
270	24.04390526
271	24.02770565
272	23.9642329
273	23.88848596
274	23.85920161
275	23.8260022
276	23.78998537
277	23.72866174
278	23.64457146
279	23.60785574
280	23.56814253
281	23.51012474
282	23.43245869
283	23.40708447
284	23.37162535
285	23.32450486
286	23.29477257
287	23.25890982
288	23.18932893
289	23.14051987
290	23.07839873
291	22.9998784
292	22.94401893
293	22.92494467
294	22.81748265
295	22.69101753
296	22.65089858
297	22.63097415
298	22.56193955
299	22.46137566
300	22.39933566
301	22.36395428
302	22.32634572
303	22.31716083
304	22.28294068
305	22.22456007
306	22.18344163
