iter	Passed	Remaining
0	153	61201
1	155	30944
2	157	20823
3	159	15750
4	160	12697
5	162	10653
6	163	9204
7	165	8119
8	167	7276
9	169	6598
10	171	6049
11	173	5594
12	174	5201
13	176	4862
14	178	4574
15	179	4315
16	181	4089
17	183	3890
18	184	3709
19	186	3544
20	188	3394
21	189	3262
22	191	3140
23	193	3026
24	194	2924
25	196	2827
26	198	2736
27	199	2653
28	201	2580
29	203	2509
30	205	2441
31	207	2382
32	208	2323
33	210	2268
34	212	2217
35	214	2169
36	216	2122
37	218	2082
38	220	2041
39	222	2002
40	224	1967
41	226	1933
42	228	1898
43	230	1867
44	232	1836
45	234	1806
46	236	1777
47	238	1747
48	240	1720
49	242	1695
50	244	1670
51	245	1645
52	247	1621
53	249	1598
54	251	1575
55	253	1554
56	254	1533
57	256	1512
58	258	1491
59	259	1473
60	261	1454
61	263	1437
62	265	1420
63	267	1403
64	269	1387
65	271	1371
66	272	1355
67	274	1340
68	276	1326
69	278	1311
70	279	1297
71	281	1282
72	283	1270
73	285	1256
74	286	1243
75	288	1231
76	290	1220
77	292	1208
78	294	1197
79	296	1186
80	298	1174
81	300	1163
82	301	1153
83	303	1142
84	305	1131
85	307	1122
86	309	1112
87	311	1102
88	313	1093
89	315	1085
90	316	1076
91	318	1067
92	320	1058
93	322	1050
94	324	1042
95	326	1033
96	328	1026
97	330	1019
98	332	1011
99	334	1004
100	336	997
101	338	989
102	340	981
103	342	974
104	344	967
105	346	959
106	348	953
107	349	945
108	351	938
109	353	931
110	355	924
111	357	918
112	358	911
113	360	904
114	362	898
115	364	892
116	366	886
117	368	879
118	369	873
119	371	867
120	373	861
121	375	854
122	376	848
123	378	843
124	380	837
125	382	831
126	384	825
127	385	820
128	387	814
129	389	809
130	391	804
131	393	798
132	395	793
133	397	788
134	399	784
135	404	784
136	406	779
137	407	774
138	409	769
139	411	764
140	413	759
141	415	754
142	417	749
143	419	744
144	420	739
145	422	735
146	424	730
147	426	725
148	428	721
149	430	716
150	431	712
151	433	707
152	435	702
153	437	698
154	439	693
155	440	689
156	442	684
157	444	680
158	446	676
159	447	671
160	449	667
161	451	663
162	453	658
163	454	654
164	456	650
165	458	646
166	460	641
167	461	637
168	463	633
169	465	629
170	466	625
171	468	621
172	470	617
173	472	613
174	473	609
175	475	605
176	477	601
177	478	597
178	480	593
179	482	589
180	484	585
181	485	581
182	487	578
183	489	574
184	491	570
185	492	567
186	494	563
187	496	559
188	498	556
189	499	552
190	501	548
191	503	545
192	505	541
193	506	538
194	508	534
195	510	531
196	512	527
197	513	524
198	515	520
199	516	516
200	517	512
201	519	509
202	521	506
203	523	502
204	524	499
205	526	495
206	528	492
207	530	489
208	532	486
209	533	483
210	535	479
211	537	476
212	539	473
213	540	470
214	542	467
215	544	463
216	546	460
217	547	457
218	549	454
219	551	451
220	552	447
221	554	444
222	556	441
223	558	438
224	559	435
225	561	432
226	563	429
227	564	426
228	566	423
229	568	420
230	570	417
231	571	414
232	573	410
233	575	408
234	576	405
235	578	402
236	580	399
237	582	396
238	584	393
239	586	390
240	588	387
241	590	385
242	592	382
243	594	379
244	596	377
245	598	374
246	600	371
247	602	369
248	604	366
249	606	363
250	608	361
251	610	358
252	611	355
253	613	352
254	615	350
255	617	347
256	619	344
257	621	342
258	623	339
259	625	336
260	626	333
261	628	331
262	630	328
263	632	325
264	634	323
265	636	320
266	637	317
267	639	315
268	641	312
269	643	309
270	645	307
271	646	304
272	648	301
273	650	299
274	652	296
275	653	293
276	655	291
277	657	288
278	659	285
279	661	283
280	662	280
281	664	278
282	666	275
283	668	273
284	670	270
285	671	267
286	673	265
287	675	262
288	677	260
289	679	257
290	680	255
291	682	252
292	684	249
293	686	247
294	687	244
295	691	243
296	693	240
297	695	238
298	697	235
299	698	232
300	700	230
301	702	227
302	704	225
303	705	222
304	707	220
305	709	218
306	711	215
307	713	213
308	715	210
309	716	208
310	718	205
311	720	203
312	722	200
313	724	198
314	726	195
315	727	193
316	729	191
317	731	188
318	733	186
319	735	183
320	737	181
321	739	179
322	740	176
323	742	174
324	744	171
325	746	169
326	747	166
327	749	164
328	751	162
329	753	159
330	755	157
331	757	155
332	758	152
333	760	150
334	762	147
335	764	145
336	766	143
337	767	140
338	769	138
339	771	136
340	773	133
341	775	131
342	776	129
343	778	126
344	780	124
345	782	122
346	784	119
347	785	117
348	787	115
349	789	112
350	791	110
351	793	108
352	795	105
353	797	103
354	799	101
355	802	99
356	804	96
357	805	94
358	808	92
359	810	90
360	812	87
361	814	85
362	816	83
363	818	80
364	820	78
365	821	76
366	823	74
367	825	71
368	827	69
369	829	67
370	831	64
371	833	62
372	834	60
373	836	58
374	854	56
375	856	54
376	857	52
377	859	50
378	861	47
379	862	45
380	864	43
381	866	40
382	867	38
383	869	36
384	871	33
385	872	31
386	874	29
387	875	27
388	877	24
389	879	22
390	881	20
391	882	18
392	884	15
393	886	13
394	888	11
395	890	8
396	892	6
397	894	4
398	896	2
399	898	0
