,Log (Decay Rate) (mV/h)
0,0.432969291
1,0.447158031
2,0.698970004
3,0.176091259
4,0.301029996
5,-0.744727495
6,-0.251811973
7,-0.585026652
8,-0.193820026
9,-1.22184875
10,0.0
11,0.017033339
12,0.648360011
13,0.931966115
14,1.306853749
15,-3.92
16,-0.420216403
17,0.781036939
18,-0.075720714
19,1.136720567
20,-0.244125144
21,0.235528447
22,1.049218023
23,0.924279286
24,0.653212514
25,-2.0
26,0.534026106
27,-0.167491087
28,0.0
29,0.531478917
30,0.636487896
31,0.522444234
32,-0.259637311
33,0.176091259
34,0.029383778
35,-0.244125144
36,0.278753601
37,0.28780173
38,0.049218023
39,0.079181246
40,0.025305865
41,0.041392685
42,-1.397940009
43,0.932473765
44,0.071882007
45,0.23299611
46,0.389166084
47,1.58172216
48,1.492760389
49,2.247285703
50,2.267640982
51,-0.508638306
52,0.907411361
53,1.204119983
54,0.431363764
55,-0.356547324
56,1.016197354
57,0.403120521
58,0.989894564
59,0.711807229
60,0.45484486
61,0.324282455
62,0.890421019
63,0.328379603
64,0.230448921
65,1.029789471
66,0.45484486
67,0.753583059
68,0.26245109
69,0.84509804
70,-0.397940009
71,-2.0
72,0.806179974
73,0.376576957
74,0.123851641
75,1.261500773
76,0.613841822
77,0.409933123
78,-0.468521083
79,0.477121255
80,0.488550717
81,0.071882007
82,0.698970004
83,0.69019608
84,1.531478917
85,1.921166051
86,-1.698970004
87,0.380211242
88,0.397940009
89,0.361727836
90,1.731508184
91,0.012837225
92,-2.05
93,-3.25
94,-2.45
95,0.336459734
96,0.713490543
97,0.875061263
98,1.0
99,1.033423755
100,1.462397998
101,-0.920818754
102,-0.15490196
103,-0.096910013
104,-0.958607315
105,2.426511261
106,0.491361694
107,0.896526217
108,0.838849091
109,0.635483747
110,0.46686762
111,0.790285164
112,-0.193820026
113,-0.107905397
114,0.481442629
115,-0.26760624
116,0.267171728
117,-0.301029996
118,0.206825876
119,0.481442629
120,0.563481085
121,1.395151592
122,1.57333584
123,0.947433722
124,0.136720567
125,-0.301029996
126,0.681241237
127,1.448242413
