iter	RMSE
0	0.8359165001
1	0.8116194742
2	0.7865491822
3	0.7578657766
4	0.7371413353
5	0.7174208603
6	0.6926852159
7	0.6776676474
8	0.6567163088
9	0.6330580018
10	0.615160203
11	0.6029952859
12	0.5906588142
13	0.5782886944
14	0.5684524859
15	0.5532743279
16	0.5396774422
17	0.5286399084
18	0.5202563861
19	0.5106479642
20	0.500331468
21	0.4904710587
22	0.4834641926
23	0.4759282367
24	0.4654659144
25	0.4579586357
26	0.4498774669
27	0.445934689
28	0.4408969566
29	0.4368525618
30	0.4320054964
31	0.4271822625
32	0.423039711
33	0.415457158
34	0.4113127214
35	0.4056435871
36	0.4018160214
37	0.3909985313
38	0.3855613631
39	0.3845782748
40	0.3796006852
41	0.3767835437
42	0.3700788981
43	0.3675278414
44	0.3635882202
45	0.3586143852
46	0.3554857855
47	0.351965158
48	0.3492714615
49	0.347855671
50	0.3455488305
51	0.3395605574
52	0.3362552429
53	0.3331121345
54	0.3256716593
55	0.3181382235
56	0.3153154458
57	0.3137664124
58	0.309800592
59	0.3027778099
60	0.3003184119
61	0.2992156503
62	0.2971785538
63	0.295285721
64	0.2928870282
65	0.2899677598
66	0.2862873458
67	0.2844260805
68	0.2809471933
69	0.2790620238
70	0.2754058656
71	0.2723789687
72	0.2700291046
73	0.2689960721
74	0.2657364126
75	0.2637804338
76	0.2625848344
77	0.2584499182
78	0.2558125226
79	0.2542129652
80	0.2513354469
81	0.2497562618
82	0.2479010611
83	0.2458535275
84	0.2424949454
85	0.2394994308
86	0.2381410184
87	0.2353853637
88	0.2312248077
89	0.2295835548
90	0.2275404982
91	0.2261996894
92	0.2236045653
93	0.22267093
94	0.2213501211
95	0.2197042353
96	0.2186434334
97	0.2177407668
98	0.2140161836
99	0.2112682957
100	0.2094560497
101	0.207268706
102	0.2050808529
103	0.2041618617
104	0.2035673597
105	0.2022153699
106	0.2004452473
107	0.1995178607
108	0.1976405021
109	0.1955481131
110	0.1933396251
111	0.1915892996
112	0.188595504
113	0.1878811085
114	0.186266727
115	0.1849727633
116	0.18256572
117	0.18033407
118	0.1780335611
119	0.1769367649
120	0.1747898932
121	0.1734646112
122	0.171708973
123	0.1692625559
124	0.1678135218
125	0.1666656598
126	0.1658930763
127	0.1634075994
128	0.1622217085
129	0.1603510297
130	0.1587339947
131	0.1577375694
132	0.1564361991
133	0.1552247806
134	0.1542561026
135	0.1532099361
136	0.1530985578
137	0.1511599449
138	0.1497829046
139	0.1478104309
140	0.1467011242
141	0.1452839397
142	0.1440346864
143	0.1421713445
144	0.1411228302
145	0.1402913346
146	0.1389970965
147	0.1374508967
148	0.1362409425
149	0.1357046878
150	0.1352176106
151	0.134637752
152	0.1337151327
153	0.1331409117
154	0.132509358
155	0.131465963
156	0.1304405709
157	0.1291544956
158	0.1284405566
159	0.1274729552
160	0.1260429671
161	0.1250986133
162	0.1248072092
163	0.1231788002
164	0.1217913079
165	0.1211159894
166	0.1199308619
167	0.1186542909
168	0.1179437015
169	0.1165538235
170	0.1154798102
171	0.1145691936
172	0.1132061963
173	0.1125673424
174	0.1115066504
175	0.1105255244
176	0.1096494701
177	0.1084310778
178	0.107782432
179	0.1072186822
180	0.1065429618
181	0.1057864005
182	0.1054006602
183	0.1050258359
184	0.1044489388
185	0.1036931501
186	0.1021343483
187	0.1014873741
188	0.1007282932
189	0.1000447428
190	0.09906495273
191	0.09833548296
192	0.09761698092
193	0.09693958888
194	0.09572801191
195	0.0949578006
196	0.09431884609
197	0.09421335075
198	0.09378420012
199	0.0930174561
200	0.09223574743
201	0.09204247612
202	0.09164909591
203	0.09071816372
204	0.08969004994
205	0.08938866349
206	0.08864383215
207	0.0878741578
208	0.08760204397
209	0.08696719155
210	0.08625236579
211	0.08562904367
212	0.08530091765
213	0.08501515087
214	0.08433016984
215	0.08350475328
216	0.08267731386
217	0.08232574778
218	0.08169916716
219	0.08136884911
220	0.08063715467
221	0.07983917163
222	0.07911882761
223	0.07873519983
224	0.0784025781
225	0.07768795405
226	0.07719244264
227	0.07689462347
228	0.07635663515
229	0.07606153476
230	0.07554029587
231	0.0751319605
232	0.07460137859
233	0.07407776814
234	0.07370211575
235	0.07267934769
236	0.07243528848
237	0.07205705941
238	0.07171595539
239	0.07140644286
240	0.07093589971
241	0.07042061694
242	0.07001752158
243	0.06930768109
244	0.0686375422
245	0.06840097202
246	0.06827541479
247	0.06802043695
248	0.06781987793
249	0.06751355918
250	0.0670582306
251	0.06694137867
252	0.06654991332
253	0.06632288742
254	0.06544151867
255	0.06501168303
256	0.06431999617
257	0.06390599173
258	0.06354015399
259	0.06343672921
260	0.06303840552
261	0.0626916938
262	0.06231577175
263	0.06189286875
264	0.0615198048
265	0.06094327618
266	0.06068411519
267	0.06033362294
268	0.05989397586
269	0.05960048099
270	0.05890106896
271	0.05866512012
272	0.05852601919
273	0.05830232681
274	0.05787383006
275	0.05748923581
276	0.05716485137
277	0.05691454221
278	0.05636007972
279	0.05618959315
280	0.05581388914
281	0.05550116696
282	0.05521137883
283	0.05479559652
284	0.05446069292
285	0.05413704654
286	0.05360645336
287	0.05323172584
288	0.0529357913
289	0.05280563752
290	0.05246759374
291	0.05234886175
292	0.05206727265
293	0.05187410151
294	0.05159632746
295	0.05124304534
296	0.05104784354
297	0.05065983285
298	0.05024400565
299	0.05008019885
300	0.04969854047
301	0.04944081806
302	0.04894051209
303	0.04873056325
304	0.04830986611
305	0.04811680297
306	0.04788232305
307	0.04738552543
308	0.04732620824
309	0.04714274517
310	0.04710296538
311	0.04680654864
312	0.0465121945
313	0.04612474753
314	0.04582574296
315	0.04557963173
316	0.04530916348
317	0.04510377702
318	0.04495108586
319	0.04466556509
320	0.04441699363
321	0.0442634023
322	0.04397586965
323	0.04382694564
324	0.04371301507
325	0.04340592003
326	0.04316925532
327	0.04283772501
328	0.04255731089
329	0.04234692844
330	0.04207660014
331	0.04180492962
332	0.04159851791
333	0.04138383711
334	0.04127895677
335	0.0411277613
336	0.04091853342
337	0.04079408654
338	0.04057652729
339	0.04033000595
340	0.0400737966
341	0.0396670766
342	0.03923123068
343	0.03911215502
344	0.03883665364
345	0.03870629879
346	0.03848995427
347	0.03824584225
348	0.03811873604
349	0.03797104649
