,Metal_Dopant_1 Relative Atomic Mass,Metal_Dopant_1 Atomic Number,Metal_Dopant_1 Period,Metal_Dopant_1 Group,Metal_Dopant_1 Ionization Potential,Metal_Dopant_1 Electronegativity,Metal_Dopant_1 Number of d electrons,Metal_Dopant_1 Atomic Radius,Metal_Dopant_2 Relative Atomic Mass,Metal_Dopant_2 Atomic Number,Metal_Dopant_2 Period,Metal_Dopant_2 Group,Metal_Dopant_2 Ionization Potential,Metal_Dopant_2 Electronegativity,Metal_Dopant_2 Number of d electrons,Metal_Dopant_2 Atomic Radius,Metal_Dopant_3 Relative Atomic Mass,Metal_Dopant_3 Atomic Number,Metal_Dopant_3 Period,Metal_Dopant_3 Group,Metal_Dopant_3 Ionization Potential,Metal_Dopant_3 Electronegativity,Metal_Dopant_3 Number of d electrons,Metal_Dopant_3 Atomic Radius,Metal_Dopant_4 Relative Atomic Mass,Metal_Dopant_4 Atomic Number,Metal_Dopant_4 Period,Metal_Dopant_4 Group,Metal_Dopant_4 Ionization Potential,Metal_Dopant_4 Electronegativity,Metal_Dopant_4 Number of d electrons,Metal_Dopant_4 Atomic Radius,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Metal_4_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Hydrothermal Strring,Strong Reductant in liquid,Weak Reductant in liquid,Mixed in solid or liquired,Annealing Temp degree,Annealing Time min,Annealing Stirring,Annealing Inert,Annealing Reductive,Acid wash or not,Catalyst_Loading mg cm -2,Support Material Loading mg cm -2,support not carbon,Glassy Carbon_0/Carbon Paper_1,Proton Concentration M,Current Density mA cm-2,Test Time h,Decay Rate mV/h
0,63.546,29,4,11,7.69,1.9,10,128,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.69661761,25.30338239,0,0,150,900 ,0,0,0,0,300,240,0,0,0,0,0.704,0,0,0,1,10,24,2.71
1,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,150,120 ,0,0,0,0,400,1,0,0,0,0,0.902,0.198,0,1,1,10,25,2.8
2,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,150,120 ,0,0,0,0,400,1,0,0,0,0,0.902,0.198,0,1,1,10,30,5
3,58.933,27,4,9,7.81,1.88,7,125,55.845,26,4,8,7.83,1.83,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.33774834,0.662251656,0,0,150,120 ,0,0,0,0,400,1,0,0,0,0,0.8877,0.2123,0,1,1,10,40,1.5
4,58.933,27,4,9,7.81,1.88,7,125,55.845,26,4,8,7.83,1.83,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.33774834,0.662251656,0,0,150,120 ,0,0,0,0,400,1,0,0,0,0,0.8877,0.2123,0,1,1,10,50,2
5,101.07,44,5,8,7.5,2.2,7,134,140.116,58,6,3,6.91,1.12,1,181,95.94,42,5,6,7.35,2.16,5,139,0,0,0,0,0,0,0,0,60,20,0.2,0,60,720 ,1,0,0,0,500,60,0,0,0,0,0.3,0,0,1,1,10,0,0.18
6,101.07,44,5,8,7.5,2.2,7,134,140.116,58,6,3,6.91,1.12,1,181,95.94,42,5,6,7.35,2.16,5,139,0,0,0,0,0,0,0,0,60,20,0.2,0,60,720 ,1,0,0,0,500,60,0,0,0,0,0.3,0,0,1,1,100,0,0.56
7,101.07,44,5,8,7.5,2.2,7,134,192.217,77,6,9,9.1,2.2,7,136,54.938,25,4,7,7.4,1.56,5,127,0,0,0,0,0,0,0,0,63.82978723,31.91489362,0.042553191,0,80,10 ,1,0,1,0,240,60,0,1,0,0,0.127,0.127,0,0,0.1,10,180,0.26
8,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,0 ,0,0,0,1,800,180,1,0,0,0,0.212,0,0,0,0.1,50,45,0.64
9,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,0 ,0,0,0,1,500,30,1,0,0,0,0.5,0,0,0,0.1,10,511,0.06
10,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,1 ,1,0,0,0,700,0.05,0,0,0,0,1.3307,0,0,1,1,10,20,1
11,137.327,56,6,2,5.19,0.89,10,222,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.59177241,13.40822759,0,0,150,480 ,0,0,0,0,700,360,0,0,0,0,0.283,0,0,1,1,10,48,1.04
12,195.084,78,6,10,8.9,2.28,9,139,101.07,44,5,8,7.5,2.2,7,134,58.933,27,4,9,7.81,1.88,7,125,0,0,0,0,0,0,0,0,57.09728659,29.834028,0.130686854,0,260,120 ,0,0,1,0,400,60,0,0,0,0,0.2085,0.834,0,1,0.1,10,20,4.45
13,195.084,78,6,10,8.9,2.28,9,139,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.69840303,46.30159697,0,0,260,120 ,0,0,1,0,400,60,0,0,0,0,0.246,0.984,0,1,0.1,10,20,8.55
14,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,280,120 ,0,0,1,0,400,60,0,0,0,0,0.0263,0.1052,0,1,0.1,10,7.2,20.27
15,101.07,44,5,8,7.5,2.2,7,134,121.76,51,5,15,8.35,2.05,10,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,100,3 ,0,0,0,0,600,360,0,0,0,0,0.223,0,0,1,1,10,24,-1.92
16,54.938,25,4,7,7.4,1.56,5,127,121.76,51,5,15,8.35,2.05,10,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,100,3 ,0,0,0,0,600,360,0,0,0,0,0.177,0,0,1,1,10,24,0.38
17,58.933,27,4,9,7.81,1.88,7,125,121.76,51,5,15,8.35,2.05,10,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,100,3 ,0,0,0,0,600,360,0,0,0,0,0.201,0,0,1,1,10,24,6.04
18,54.938,25,4,7,7.4,1.56,5,127,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8502994,25.1497006,0,0,25,720 ,1,0,0,0,200,60,0,0,0,0,2,0,0,1,0.1,10,200,0.84
19,54.938,25,4,7,7.4,1.56,5,127,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8502994,25.1497006,0,0,25,720 ,1,0,0,0,200,60,0,0,0,0,0.2,0,0,0,0.1,10,10,13.7
20,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,240 ,1,0,0,0,350,300,0,0,0,0,0.1415,0.1415,0,1,1,10,75,0.57
21,101.07,44,5,8,7.5,2.2,7,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,300 ,0,0,0,0,350,120,0,0,0,0,1.2,0,0,1,1,10,50,1.72
22,192.217,77,6,9,9.1,2.2,7,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,25,5 ,1,0,0,0,500,720,0,0,1,0,0.011,0,0,1,0.1,10,5,11.2
23,192.217,77,6,9,9.1,2.2,7,136,196.966,79,6,11,9.19,2.54,10,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,25,5 ,1,0,0,0,500,720,0,0,1,0,0.02173198,0,0,1,0.1,10,5,8.4
24,101.07,44,5,8,7.5,2.2,7,134,196.966,79,6,11,9.19,2.54,10,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90909091,9.090909091,0,0,25,2880 ,1,0,0,0,300,240,0,0,1,0,0.8488,0,0,0,1,10,5.5556,4.5
25,192.217,77,6,9,9.1,2.2,7,136,168.934,69,6,3,6.184,1.25,10,177,180.947,73,6,5,7.89,1.5,3,149,0,0,0,0,0,0,0,0,80,10,0.1,0,0,180 ,1,0,0,0,450,120,0,0,0,0,0.0407,0,0,0,1,10,500,0
